estate name,detail link,photo links
Tai Tat Building,https://www.28hse.com/en/estate/detail/tai-tat-building-22760,https://i1.28hse.com/2022/09/202209081217471588323_large.jpg
Cheung King Mansion,https://www.28hse.com/en/estate/detail/cheung-king-mansion-2990,https://i1.28hse.com/2022/09/202209081234333399466_large.jpg
Imperial Court,https://www.28hse.com/en/estate/detail/imperial-court-6610,https://i1.28hse.com/2022/09/202209081252271398460_large.jpg
Wai Sun Building,https://www.28hse.com/en/estate/detail/wai-sun-building-6685,https://i1.28hse.com/2022/09/20220908125259660669_large.jpg
Kam On Court,https://www.28hse.com/en/estate/detail/kam-on-court-4071,https://i1.28hse.com/2022/09/202209081236361471386_large.jpg
Melody Court,https://www.28hse.com/en/estate/detail/melody-court-8624,https://i1.28hse.com/2022/09/202209081305085887123_large.jpg
Ka Yee Building,https://www.28hse.com/en/estate/detail/ka-yee-building-855,https://i1.28hse.com/2022/09/202209081304361698227_large.jpg
Man Fuk Building,https://www.28hse.com/en/estate/detail/man-fuk-building-2076,https://i1.28hse.com/2022/09/202209081214024364269_large.jpg
Shui Heung Yuen Apartments,https://www.28hse.com/en/estate/detail/shui-heung-yuen-apartments-6646,https://i1.28hse.com/2022/09/202209081252423334107_large.jpg
Evone Court,https://www.28hse.com/en/estate/detail/evone-court-5476,https://i1.28hse.com/2022/09/202209081244308641254_large.jpg
Pokfulam Gardens,https://www.28hse.com/en/estate/detail/pokfulam-gardens-270,https://i1.28hse.com/2022/09/202209081233068252827_large.jpg
Bowen Mansion,https://www.28hse.com/en/estate/detail/bowen-mansion-8905,https://i1.28hse.com/2022/09/202209081307103179180_large.jpg
No.7 Boundway Street,https://www.28hse.com/en/estate/detail/no-7-boundway-street-6826,https://i1.28hse.com/2022/09/202209081253546798242_large.jpg
 Wan Tau Tong Estate,https://www.28hse.com/en/estate/detail/wan-tau-tong-estate-25214,https://i1.28hse.com/2022/09/202209081255386971717_large.jpg
Universal Mansion,https://www.28hse.com/en/estate/detail/universal-mansion-2980,https://i1.28hse.com/2022/09/202209081234286714012_large.jpg
Ruby Court,https://www.28hse.com/en/estate/detail/ruby-court-205,https://i1.28hse.com/2022/09/202209081213512315924_large.jpg
Tak Cheong Apartments,https://www.28hse.com/en/estate/detail/tak-cheong-apartments-24871,https://i1.28hse.com/2022/09/202209081254016625665_large.jpg
Dragon View,https://www.28hse.com/en/estate/detail/dragon-view-8729,https://i1.28hse.com/2022/09/202209081305552511790_large.jpg
Gold Jade Mansion,https://www.28hse.com/en/estate/detail/gold-jade-mansion-5781,https://i1.28hse.com/2022/09/202209081246388184806_large.jpg
Kelford Mansion,https://www.28hse.com/en/estate/detail/kelford-mansion-8307,https://i1.28hse.com/2022/09/202209081302455321309_large.jpg
Tze Man Estate,https://www.28hse.com/en/estate/detail/tze-man-estate-25348,https://i1.28hse.com/2022/09/202209081256407218139_large.jpg
Pobjoy Court,https://www.28hse.com/en/estate/detail/pobjoy-court-8031,https://i1.28hse.com/2022/09/202209081300516930210_large.jpg
Pentland Court,https://www.28hse.com/en/estate/detail/pentland-court-22190,https://i1.28hse.com/2022/09/202209081215166191010_large.jpg
17-17A Ho Man Tin Street,https://www.28hse.com/en/estate/detail/17-17a-ho-man-tin-street-24040,https://i1.28hse.com/2022/09/202209081229408669618_large.jpg
Mei Pak Court,https://www.28hse.com/en/estate/detail/mei-pak-court-23172,https://i1.28hse.com/2022/09/20220908121952313355_large.jpg
Kai Ming Building,https://www.28hse.com/en/estate/detail/kai-ming-building-6506,https://i1.28hse.com/2022/09/202209081251384221808_large.jpg
Kimlai Court,https://www.28hse.com/en/estate/detail/kimlai-court-2995,https://i1.28hse.com/2022/09/202209081234341633849_large.jpg
Peaceful Mansion,https://www.28hse.com/en/estate/detail/peaceful-mansion-2458,https://i1.28hse.com/2022/09/202209081227531337074_large.jpg
Silver Centre Building,https://www.28hse.com/en/estate/detail/silver-centre-building-8939,https://i1.28hse.com/2022/09/202209081307261505925_large.jpg
Kok Pah Mansion,https://www.28hse.com/en/estate/detail/kok-pah-mansion-25966,https://i1.28hse.com/2022/09/202209081220138665075_large.jpg
Yee Fung Court,https://www.28hse.com/en/estate/detail/yee-fung-court-647,https://i1.28hse.com/2022/09/20220908125122209180_large.jpg
Rica Victoria,https://www.28hse.com/en/estate/detail/rica-victoria-5261,https://i1.28hse.com/2022/09/202209081243056580829_large.jpg
Grand Marini,https://www.28hse.com/en/estate/detail/grand-marini-26153,https://i1.28hse.com/2022/09/202209081222116081918_large.jpg
Man Cheong Building,https://www.28hse.com/en/estate/detail/man-cheong-building-6681,https://i1.28hse.com/2022/09/202209081252572156293_large.jpg
Ko Cheung Court,https://www.28hse.com/en/estate/detail/ko-cheung-court-25291,https://i1.28hse.com/2022/09/202209081256125803505_large.jpg
Rosedale Garden,https://www.28hse.com/en/estate/detail/rosedale-garden-4468,https://i1.28hse.com/2022/09/202209081239436608285_large.jpg
