Name,Estate,Photo
Convention Plaza,https://www.28hse.com/en/estate/hk/wan-chai/831_convention-plaza,https://i1.28hse.com/2023/01/202301271217263229518_large.jpg
Kornhill,https://www.28hse.com/en/estate/hk/quarry-bay/1120_kornhill,https://i1.28hse.com/2023/01/202301271126497097056_large.jpg
Chi Fu Fa Yuen,https://www.28hse.com/en/estate/hk/pok-fu-lam/240_chi-fu-fa-yuen,https://i1.28hse.com/2022/07/202207201107083579257_large.jpg
Grand Promenade,https://www.28hse.com/en/estate/hk/sai-wan-ho/1170_grand-promenade,https://i1.28hse.com/2023/01/202301271111536699315_large.jpg
TaiKoo Shing,https://www.28hse.com/en/estate/hk/taikoo-shing/1140_taikoo-shing,https://i1.28hse.com/2023/01/202301271300595525059_large.jpg
Wing Hing Court,https://www.28hse.com/en/estate/hk/sai-wan-ho/6222_wing-hing-court,https://i1.28hse.com/2022/09/202209081212344325995_large.jpg
WestLands Court,https://www.28hse.com/en/estate/hk/quarry-bay/1128_westlands-court,https://i1.28hse.com/2022/09/202209081212467545645_large.jpg
Marinella,https://www.28hse.com/en/estate/hk/wong-chuk-hang/6581_marinella,https://i1.28hse.com/2022/09/202209081252126760726_large.jpg
Kornhill Garden,https://www.28hse.com/en/estate/hk/quarry-bay/1127_kornhill-garden,https://i1.28hse.com/2022/09/2022090812124598398_large.jpg
Hoi Kwong Court,https://www.28hse.com/en/estate/hk/quarry-bay/1131_hoi-kwong-court,https://i1.28hse.com/2022/09/202209081212478720527_large.jpg
South Horizons,https://www.28hse.com/en/estate/hk/south-horizons/350_south-horizons,https://i1.28hse.com/2023/01/202301121511206784217_large.jpg
Southorn Garden,https://www.28hse.com/en/estate/hk/wan-chai/837_southorn-garden,https://i1.28hse.com/2022/09/202209081303126742479_large.jpg
Coble Court,https://www.28hse.com/en/estate/hk/ap-lei-chau/324_coble-court,https://i1.28hse.com/2022/09/20220908123537172965_large.jpg
Ming Fai Building,https://www.28hse.com/en/estate/hk/north-point/5411_ming-fai-building,https://i1.28hse.com/2022/09/202209081244067095531_large.jpg
Heng Fa Chuen,https://www.28hse.com/en/estate/hk/heng-fa-chuen/1240_heng-fa-chuen,https://i1.28hse.com/2023/01/202301271116131682230_large.jpg
Silverwood,https://www.28hse.com/en/estate/hk/happy-valley/986_silverwood,https://i1.28hse.com/2022/09/202209081308135431485_large.jpg
Manhattan Heights,https://www.28hse.com/en/estate/hk/kennedy-town/558_manhattan-heights,https://i1.28hse.com/2022/09/202209081245116446922_large.jpg
The Upper South,https://www.28hse.com/en/estate/hk/ap-lei-chau/23740_the-upper-south,https://i1.28hse.com/2022/09/202209081222365346399_large.jpg
Harbour Heights,https://www.28hse.com/en/estate/hk/north-point/1071_harbour-heights,https://i1.28hse.com/2022/09/202209081212234035834_large.jpg
Kwong Sang Hong Building,https://www.28hse.com/en/estate/hk/wan-chai/900_kwong-sang-hong-building,https://i1.28hse.com/2022/09/202209081307425382407_large.jpg
The Broadville,https://www.28hse.com/en/estate/hk/happy-valley/22454_the-broadville,https://i1.28hse.com/2022/09/202209081216294430782_large.jpg
Wellesley,https://www.28hse.com/en/estate/hk/western-mid-levels/8741_wellesley,https://i1.28hse.com/2022/09/202209081306003570939_large.jpg
Hang Ying House,https://www.28hse.com/en/estate/hk/fortress-hill/1117_hang-ying-house,https://i1.28hse.com/2022/09/20220908121241123969_large.jpg
