AlexNet_2d1,AlexNet_2d2,AlexNet_3d1,AlexNet_3d2,AlexNet_3d3
0.931265,0.80689025,0.056260794,0.58999485,0.46725693
0.5949459,0.8357624,0.2483336,0.66243005,0.4171397
0.6709279,0.55132115,0.45301008,0.41775167,0.3309059
0.25991607,0.2268939,0.77260554,0.59317094,0.24718378
0.17529967,0.504251,0.6516263,0.8086671,0.23182169
0.9143712,0.62710184,0.3057797,0.2283825,0.29108265
0.5082281,0.58859503,0.47953695,0.3818295,0.5965842
0.23793364,0.3393163,0.63637835,0.5826198,0.2905463
0.5371447,0.86529374,0.16221803,0.7502999,0.47719592
0.51816964,0.1399652,0.7071551,0.16631356,0.33032158
0.591675,0.85609937,0.25928852,0.72221243,0.3810475
0.79612905,0.47109765,0.47146377,0.19555092,0.39906296
0.43882623,0.48287445,0.6855213,0.7039976,0.81832826
0.50510335,0.7712754,0.54974854,0.5574428,0.7676006
0.35632843,0.20830846,0.6757308,0.3962164,0.22514382
0.9712063,0.6988793,0.041161746,0.34674034,0.48909068
0.26906037,0.54227144,0.6471094,0.7251183,0.42357525
0.36263078,0.4412198,0.5478727,0.7110121,0.65543854
0.7476275,0.9280049,0.43344873,0.67099535,0.8997277
0.23959717,0.632163,0.54192686,0.73582596,0.50460935
0.53496534,0.7698402,0.19784206,0.7315154,0.61554635
0.4093758,0.6171048,0.40301138,0.7094633,0.714147
0.7296033,0.7132375,0.18574968,0.485757,0.641011
0.69456565,0.8524161,0.27779713,0.55840945,0.76877016
0.47062778,0.7949548,0.27605549,0.85843325,0.39323705
0.7590859,0.8237312,0.11604726,0.41463125,0.2733305
0.41845343,0.36854783,0.6156601,0.47879133,0.662467
0.5491166,0.8990213,0.31585336,0.64815617,0.1968053
0.7290144,0.58676577,0.36308187,0.36182863,0.6163338
0.45408675,0.42727023,0.6179056,0.33997324,0.8967254
0.30577046,0.58732295,0.7001092,0.8835701,0.526719
0.4242033,0.5615876,0.56591696,0.7610184,0.7648268
0.77064806,0.70366037,0.19700712,0.40435305,0.48892447
0.4812079,0.07238963,0.71577996,0.3631148,0.1279828
0.7684663,0.8519357,0.21567163,0.53165567,0.27225924
0.80274093,0.49595383,0.41232672,0.23186496,0.464195
0.70776516,0.14621598,0.7802792,0.1656667,0.5758236
0.7104433,0.33809885,0.58689404,0.25915915,0.5096697
0.55188257,0.5966691,0.4735095,0.5118341,0.5145408
0.70273876,0.59078145,0.37386382,0.43353683,0.70564145
0.5464338,0.8508785,0.242122,0.7715777,0.40017176
0.64375544,0.4998856,0.55761975,0.2352894,0.30836636
0.7245121,0.6458747,0.26748568,0.4247312,0.62947756
0.42209324,0.26744333,0.608261,0.45751542,0.4113674
0.34415513,0.29994822,0.676093,0.50794935,0.32199195
0.47259772,0.65917456,0.39237344,0.6943209,0.5709341
0.74170494,0.54567224,0.5631015,0.116567075,0.6327467
0.44682443,0.21205106,0.8771167,0.5181594,0.46639782
0.7719972,0.47962165,0.5061013,0.2281428,0.45825753
