GoogleNet_2d1,GoogleNet_2d2,GoogleNet_3d1,GoogleNet_3d2,GoogleNet_3d3
0.41256243,0.9218222,0.752332,0.4536188,0.66337705
0.37014496,0.4861524,0.6457008,0.29624778,0.24425553
0.33736062,0.48837036,0.58991593,0.26664963,0.3310484
0.7862905,0.5358099,0.7205365,0.16206598,0.56651974
0.27195776,0.11294401,0.5881359,0.26777852,0.10821551
0.47251838,0.40063956,0.6607465,0.5210574,0.4114981
0.18840513,0.51842815,0.79083705,0.589232,0.43156624
0.5052086,0.46988794,0.5285182,0.60787433,0.5241631
0.5294653,0.8051133,0.25347158,0.21562552,0.7698666
0.7690357,0.22190502,0.32021925,0.15409121,0.72084695
0.5688138,0.34663868,0.47773367,0.6146692,0.39419013
0.3778159,0.29611146,0.5522636,0.6236896,0.564376
0.30325258,0.3588255,0.6556488,0.7131673,0.34119213
0.69067276,0.5459075,0.29114807,0.29217,0.66478556
0.4592374,0.4683398,0.6774719,0.62375253,0.40811455
0.6936096,0.5767122,0.51690185,0.503537,0.62424535
0.39017272,0.6727408,0.6413777,0.46459678,0.60852224
0.332353,0.51927763,0.52353185,0.5869582,0.40525404
0.66663384,0.34508893,0.24893367,0.59897655,0.50741357
0.30176467,0.5905779,0.6239853,0.61172247,0.5505661
0.19903356,0.37018752,0.64715767,0.6444648,0.35764194
0.7211566,0.39528096,0.8319438,0.4484112,0.84871256
0.4241563,0.614594,0.8741051,0.36558965,0.4876425
0.62393856,0.45386732,0.27900916,0.38279802,0.39780656
0.6093529,0.50009614,0.17307317,0.503992,0.748611
0.30156738,0.1861647,0.45294905,0.5425838,0.111506075
0.49501616,0.24785188,0.46134257,0.60641146,0.22494864
0.614363,0.6116961,0.83056927,0.2195136,0.6620264
0.45105618,0.33048776,0.5721139,0.7377585,0.29925215
0.42986816,0.6266063,0.5591641,0.6703978,0.6965457
0.26040018,0.38002467,0.72318447,0.69480956,0.29422864
0.56127834,0.53897357,0.46561837,0.35737318,0.5128024
0.608915,0.6689215,0.42616272,0.19529983,0.5664412
0.62553066,0.68233126,0.4244045,0.6145466,0.94948125
0.39032343,0.40218115,0.6955464,0.50403374,0.34633833
0.6964526,0.52628785,0.411233,0.6302632,0.47570753
0.85192156,0.7304488,0.7691201,0.3558899,0.71687895
0.39149976,0.39267403,0.43456396,0.35816824,0.059636176
0.57179254,0.5810579,0.5566216,0.34526706,0.47519147
0.43222684,0.8266585,0.5803156,0.15709174,0.54195696
0.7347083,0.20759463,0.19441041,0.8478855,0.51446164
0.44793648,0.44905233,0.45170462,0.62044084,0.5266563
0.43741864,0.35583258,0.59002835,0.5851482,0.344416
0.38800788,0.65608376,0.22785103,0.29252043,0.315432
0.25418156,0.58682084,0.6648576,0.71673524,0.4375122
0.6816866,0.68561614,0.5695307,0.4818971,0.8245173
0.34446782,0.77886677,0.5361012,0.6602208,0.7845775
0.33362466,0.6876242,0.7548953,0.59020394,0.8738593
0.29468143,0.5895412,0.6485454,0.59013087,0.52936196
0.48959884,0.86450344,0.6314016,0.5867536,0.79871196
0.44950113,0.22151601,0.41634098,0.70947206,0.22144544
0.37392682,0.47184741,0.5100081,0.35738152,0.28595418
0.86838424,0.5519803,0.7430129,0.67797154,0.8315225
0.8288888,0.53745365,0.2758965,0.6249389,0.54275894
0.38964012,0.670488,0.6813623,0.48477226,0.5836022
0.24010181,0.7414737,0.20102862,0.5120798,0.5428418
0.6521889,0.7323586,0.73163307,0.28893572,0.62918633
0.8098211,0.4360546,0.36684483,0.6357115,0.7703154
0.72812384,0.80415606,0.49538976,0.28999907,0.8700367
0.3837015,0.5037135,0.6035546,0.31908628,0.36011338
0.35878968,0.47406915,0.56028676,0.34701276,0.23695546
0.4124916,0.7983123,0.5830692,0.20092046,0.52708125
0.45563078,0.59825313,0.87762433,0.6327923,0.59746027
0.8474215,0.5997106,0.92953897,0.4521674,0.5108676
0.77703357,0.36083826,0.13804859,0.6459948,0.6347824
0.45984092,0.3048463,0.5659747,0.83518374,0.27225152
0.52580607,0.014753461,0.7536415,0.82419604,0.735196
0.499057,0.2506244,0.47081843,0.6599352,0.19304407
0.42932618,0.4613223,0.48468134,0.33000374,0.23534131
0.5414457,0.8449061,0.69464976,0.4118053,0.75908095
0.15458351,0.4136714,0.038416386,0.5246462,0.3013372
0.72989756,0.43141064,0.51645994,0.8236376,0.63762033
0.46302497,0.6663814,0.8972928,0.4115684,0.557444
0.29999062,0.19594294,0.45569122,0.48948014,0.12498605
0.5764577,0.654279,0.8349302,0.21613994,0.5723668
0.7317837,0.57441443,0.61463445,0.3896171,0.6478686
0.62737733,0.4577028,0.27104825,0.38289428,0.42832732
0.30844668,0.1086787,0.010846347,0.51617223,0.4194305
0.82257,0.4278627,0.68952227,0.058074713,0.59591556
0.3955409,0.42678607,0.51162076,0.44447514,0.29238886
0.47956365,0.90297276,0.97684383,0.51554024,0.65766895
0.55235803,0.11209363,0.3348862,0.57603025,0.24721576
0.4814737,0.03179404,0.35447332,0.7388787,0.5102869
0.6351315,0.7210901,0.6212171,0.30863926,0.5907918
0.80864406,0.36276728,0.19886449,0.38019997,0.65623665
0.8375712,0.1689837,0.17053556,0.28029668,0.26359123
0.42103016,0.79908323,0.55620396,0.1900245,0.44460905
0.34342188,0.36907184,0.6049922,0.70486987,0.45271048
0.2493954,0.3577723,0.74613285,0.5280381,0.22712156
0.50527227,0.14033943,0.74153286,0.35012883,0.12055439
0.3290301,0.6664763,0.51355684,0.16026413,0.38603318
0.1413602,0.6182418,0.44904009,0.8545084,0.75434494
0.6770314,0.3727011,0.4245102,0.6388066,0.7317548
0.55061793,0.46261173,0.40003562,0.6368838,0.6298116
0.64465255,0.30865073,0.8292196,0.4410736,0.16617373
0.69267285,0.5390194,0.25831446,0.5238825,0.60041255
0.2989778,0.3120644,0.6884509,0.46301275,0.4395285
0.23707926,0.30272287,0.69226396,0.53707516,0.14196128
0.6122098,0.6613264,0.40317503,0.25880253,0.59887606
0.60845584,0.10542053,0.6132543,0.7700683,0.19058344
0.7136488,0.7951348,0.49689433,0.22671625,0.8164222
0.38232654,0.90953815,0.47620094,0.06708944,0.36151516
0.48665473,0.7298006,0.53653204,0.5729699,0.6607917
0.5698397,0.8018046,0.47201616,0.30879518,0.5777531
0.29930353,0.27931207,0.6207164,0.61083996,0.17683429
0.7222599,0.5735387,0.62872946,0.3780249,0.62805814
0.3481005,0.6175101,0.5299412,0.29582548,0.3874836
0.81720984,0.68285996,0.46858662,0.21079963,0.66481245
0.15559897,0.53177536,0.74566466,0.4367392,0.90481204
0.5198683,0.8590529,0.57983595,0.49464297,0.74661815
0.75057006,0.4836752,0.2686112,0.67556834,0.6243433
0.58458185,0.25774586,0.379907,0.726748,0.36640215
0.2774247,0.7402805,0.6267947,0.13867712,0.3736479
0.5920024,0.48212254,0.43143427,0.503757,0.52871394
0.6410566,0.95921785,0.17849681,0.25411838,0.49594033
0.18042505,0.82444715,0.12028831,0.7220584,0.5237733
0.6649131,0.6874763,0.6626057,0.34063792,0.52242815
0.5904229,0.72517264,0.73595506,0.36780673,0.69335365
0.43781766,0.43702826,0.025357723,0.40192404,0.48070782
0.37226203,0.9387875,0.30809364,0.4326632,0.6215447
0.5245417,0.5178475,0.53881425,0.43640208,0.3801149
0.02593416,0.5450938,0.2453782,0.2606012,0.4974184
0.251653,0.53696597,0.772607,0.699871,0.5257922
0.39357197,0.62813795,0.79115295,0.2710332,0.5448606
0.61312026,0.74471915,0.47959635,0.4794593,0.81059414
0.67812645,0.30528867,0.19676971,0.1785258,0.33884528
0.767694,0.15818378,0.14418274,0.4926813,0.3883466
0.90462583,0.539973,0.8751508,0.28998598,0.6096375
0.81517875,0.27116394,0.1272628,0.64397925,0.5511682
0.50075054,0.56477183,0.5974185,0.6371638,0.6266783
