ResNet101_2d1,ResNet101_2d2,ResNet101_3d1,ResNet101_3d2,ResNet101_3d3
0.25842988,0.4200127,0.28225166,0.44269693,0.40608048
0.77279544,0.18781495,0.720958,0.23798999,0.2686069
0.15804559,0.41762593,0.20951077,0.4967305,0.40790778
0.42589545,0.69423795,0.43374795,0.6215944,0.79613376
0.23329455,0.64264274,0.290626,0.70040977,0.5123975
0.26352844,0.3215441,0.25393742,0.250551,0.20016691
0.23024812,0.49196276,0.32930106,0.64065444,0.2252403
0.3764605,0.48802835,0.3259021,0.308372,0.7987558
0.8502755,0.21624902,0.7809155,0.389975,0.17972752
0.48133022,0.92269623,0.37922162,0.8570303,0.30066586
0.76028925,0.3991943,0.6982321,0.45247376,0.16925561
0.17365354,0.37882966,0.13715482,0.45633754,0.26736593
0.46004856,0.6132395,0.40126336,0.43060648,0.6693138
0.848768,0.47749007,0.74210465,0.47230515,0.42044973
0.7407326,0.68141526,0.6901927,0.69903266,0.34357867
0.08653155,0.23632896,0.09011322,0.2198784,0.34793794
0.19563636,0.8374457,0.19231254,0.85312665,0.5651974
0.64740646,0.5515041,0.6121507,0.49155036,0.42579582
0.69627106,0.32004285,0.64751107,0.4088522,0.3540642
0.49582252,0.44547457,0.6107447,0.47011933,0.559592
0.7237445,0.42206332,0.60871273,0.4706314,0.29446745
0.70306253,0.5058546,0.880208,0.4531324,0.5807557
0.68049103,0.21073431,0.6807764,0.27676323,0.46512505
0.95956063,0.49455866,0.9070256,0.71571517,0.27516133
0.7517988,0.6973488,0.66911227,0.66007966,0.46485895
0.7062824,0.4863661,0.7459769,0.4234773,0.339701
0.85472363,0.7909632,0.8099584,0.8124052,0.35642925
0.50628346,0.2017942,0.47768092,0.31335235,0.22505635
0.4383398,0.11941868,0.39711368,0.27999377,0.16550878
0.4547119,0.59302026,0.43069515,0.46535048,0.5654241
0.4959069,0.411672,0.4546183,0.2779444,0.68970037
0.10405576,0.49370518,0.19262764,0.36198956,0.5992689
0.6587206,0.11628261,0.55324113,0.17579824,0.22077191
0.43113184,0.7923663,0.4444303,0.747401,0.4869727
0.58954215,0.3318531,0.51039624,0.28508186,0.45897743
0.15912008,0.3449346,0.22512063,0.37788218,0.3411544
0.35151264,0.8447409,0.235818,0.8475558,0.3507919
0.7684196,0.8485503,0.6912088,0.8437729,0.703977
0.5116762,0.18265438,0.45937034,0.3750173,0.14514825
0.46067378,0.09718883,0.3762891,0.2263881,0.23561978
0.6327523,0.33666378,0.5882945,0.3378207,0.40901408
0.09252897,0.6138852,0.11191538,0.47184667,0.6484442
0.6089743,0.3974213,0.68725276,0.3563976,0.5790797
0.24766713,0.47716263,0.22385949,0.6495706,0.17262733
0.90965605,0.55004495,0.93748367,0.5430893,0.36643732
0.5184055,0.45688364,0.576433,0.39366764,0.7183467
0.15712306,0.5122244,0.12974158,0.5400522,0.42489007
0.3796698,0.7327441,0.3557667,0.69860995,0.4844309
0.21699476,0.20763487,0.38157836,0.50424635,0.10594615
0.41180956,0.48573473,0.4247352,0.48163643,0.40387386
0.9060333,0.56887984,0.94604975,0.54532635,0.42532876
0.7979131,0.63926214,0.7553439,0.60830253,0.56366223
0.7301204,0.81797653,0.7131794,0.545226,0.8352859
0.25597662,0.83737445,0.3581538,0.8017352,0.6256932
0.3290372,0.83224326,0.40746066,0.7444105,0.60844797
0.5097407,0.45792383,0.54109925,0.42399815,0.7146344
0.5435094,0.32295126,0.49402106,0.30519038,0.5379256
0.31803584,0.40537402,0.25926268,0.3336761,0.49332902
0.73597825,0.18411827,0.7157348,0.16196868,0.3187247
0.42589784,0.69423896,0.4513554,0.6214533,0.7973335
0.5077214,0.20462364,0.4725073,0.33733457,0.22762759
0.78693855,0.3632064,0.71093285,0.41649714,0.22007097
0.7732949,0.22225145,0.64622575,0.2545217,0.18580201
0.70835185,0.6486079,0.66982543,0.58070976,0.43490446
0.5929932,0.17212382,0.58224285,0.14048105,0.4162213
0.5213591,0.44527626,0.5479802,0.37759903,0.67226076
0.60819006,0.5147928,0.6157316,0.3201323,0.7915019
0.48427287,0.66544425,0.54784405,0.6015584,0.8277446
0.53723055,0.4614882,0.519214,0.47801432,0.45287076
0.59852886,0.4987367,0.566734,0.30791014,0.81911194
0.43694785,0.45242378,0.46244705,0.47831666,0.3471568
0.69707906,0.653427,0.644379,0.5803901,0.4743069
0.31590515,0.363761,0.29781675,0.19378382,0.5740883
0.9168639,0.6245525,0.9277381,0.56260854,0.5129556
0.26857057,0.57740504,0.38819963,0.6752307,0.4358368
0.61706746,0.5953762,0.57209194,0.52762276,0.38478088
0.3936466,0.4573908,0.42798007,0.5462308,0.31607315
0.8445172,0.45996055,0.75965405,0.49975297,0.35501802
0.6104617,0.83749986,0.6052678,0.78320265,0.15669414
0.17703167,0.31494242,0.2767639,0.37730333,0.2747472
0.84756505,0.31822562,0.87432075,0.2970407,0.33928862
0.836442,0.61644125,0.78883666,0.61678386,0.40267727
0.5171059,0.6494519,0.5883892,0.59403586,0.8928999
0.77306294,0.6854384,0.73262405,0.6228887,0.5015007
0.8532175,0.50130326,0.9165468,0.49060863,0.5052683
0.16711563,0.5721061,0.249602,0.7642025,0.3620353
0.4441324,0.5901342,0.4120888,0.495024,0.5681604
0.272568,0.83326745,0.37403977,0.7590393,0.54368925
0.7425807,0.42967987,0.7380899,0.49715015,0.17126212
0.7785294,0.30590418,0.74356973,0.3213635,0.09564939
0.6569706,0.2916624,0.8050958,0.41989616,0.4101997
0.4017343,0.20582247,0.28946483,0.10281822,0.2915597
0.9238901,0.7262756,0.96410024,0.6762024,0.59668314
0.5764096,0.2830813,0.60500395,0.24578014,0.5531897
0.28017956,0.5898175,0.3422041,0.6385224,0.45412198
0.5090998,0.42498788,0.4986428,0.36797902,0.7147517
0.36750436,0.7894887,0.41874182,0.7421436,0.68107086
0.39734757,0.8280891,0.42516428,0.90501475,0.5646313
0.22719976,0.2905736,0.3289776,0.34618157,0.07093102
0.8370451,0.57785785,0.8720638,0.49845967,0.572871
0.7867323,0.73798406,0.7351463,0.78269696,0.48870474
0.35978162,0.78777885,0.41571945,0.76286536,0.70864946
0.62199825,0.29668087,0.54181767,0.3868167,0.2511819
0.7188881,0.44426733,0.68515277,0.5345056,0.29080695
0.5333033,0.40727767,0.54516506,0.26715052,0.68256426
0.4073589,0.5075262,0.3282352,0.43875474,0.5770802
0.21639982,0.795178,0.23632333,0.84403837,0.58063865
0.53972566,0.4459431,0.5792738,0.3946202,0.6432102
0.5583121,0.79663074,0.49320087,0.67001593,0.22039959
0.37811232,0.44339517,0.3151301,0.22365087,0.64767265
0.8467102,0.2628193,0.8695326,0.35670835,0.22507045
0.09790212,0.2208699,0.083186984,0.21362096,0.40807983
0.6851778,0.6875794,0.6535238,0.6140581,0.49936908
0.35812777,0.7212935,0.43122655,0.68638605,0.5648066
0.6908506,0.34068814,0.6480505,0.37282425,0.29786348
0.7849537,0.6051186,0.75174034,0.5561719,0.6529582
0.64419365,0.9142513,0.6559035,0.8697977,0.37981865
0.24132386,0.58309215,0.30329713,0.5921319,0.44063753
0.8247858,0.68880785,0.7512793,0.736017,0.57267046
0.20282164,0.58,0.22270054,0.74152005,0.30969173
0.41625348,0.29938716,0.46689782,0.43011957,0.25678074
0.8389815,0.6212388,0.7866175,0.6480736,0.39468876
0.43858188,0.45105803,0.44240546,0.46494296,0.32799864
0.1862137,0.78084064,0.21784008,0.8005706,0.5329741
0.1446951,0.49096534,0.14962551,0.7152147,0.32295656
0.5208225,0.5078475,0.49608174,0.526265,0.5364996
0.8148699,0.5929043,0.7926243,0.496562,0.53361803
0.5046017,0.3673494,0.4258331,0.24769136,0.59698874
0.6217213,0.34644458,0.52320117,0.36076283,0.38631597
0.5398462,0.00017029047,0.44620746,0.34630352,0.10067263
0.4547964,0.75153995,0.4833681,0.68010134,0.3495571
0.36521628,0.8890631,0.30072123,0.83935237,0.37133867
0.58523417,0.9332664,0.5568888,0.8979996,0.31660745
0.7085897,0.5356592,0.7630526,0.42829597,0.6585283
0.6113264,0.67872375,0.51445085,0.5816039,0.38501355
0.53871095,0.47908428,0.52762604,0.45355004,0.5787464
0.48479053,0.55532223,0.28057754,0.31862223,0.39671707
0.8025561,0.3211012,0.8599859,0.21233752,0.45581892
0.23947614,0.6342777,0.30868948,0.72761804,0.4942247
0.46462607,0.45734414,0.47570673,0.42535654,0.39296913
0.2168479,0.7394142,0.1977627,0.74940413,0.75409484
0.86602235,0.54148644,0.9481498,0.56178075,0.5852597
0.75126255,0.7108057,0.6877714,0.7026162,0.44973287
0.242535,0.4322906,0.28805035,0.4874765,0.35552102
0.39668405,0.74368984,0.4538256,0.78348374,0.6900775
0.5728223,0.21218395,0.6010921,0.09425399,0.5099017
0.44355664,0.51253426,0.37189975,0.35441327,0.57769054
0.23051846,0.51743525,0.3384739,0.638872,0.3519156
0.28489757,0.38411728,0.2762475,0.39274988,0.4614228
0.8837449,0.7933892,0.8569133,0.8418769,0.40309212
0.10065508,0.7342546,0.15013275,0.6969466,0.7586639
0.86323667,0.5631676,0.91965544,0.5991742,0.57530165
0.6003966,0.18359303,0.5943941,0.18610331,0.41656774
0.103857785,0.58224225,0.08670977,0.51324743,0.55762243
0.49124262,0.51265156,0.45053548,0.3752578,0.69703615
0.7756872,0.41274902,0.68354654,0.44929677,0.23841827
0.539069,0.52340895,0.55673325,0.5341099,0.51649606
0.6046705,0.909414,0.5751155,0.84066314,0.3566219
0.56372005,0.3313535,0.46993944,0.22677389,0.47753185
0.24860594,0.6691871,0.2898569,0.73122245,0.624905
0.53643894,0.87556136,0.48966652,0.7473146,0.2918964
0.93440974,0.7275746,0.9992528,0.6619338,0.5841759
0.25682545,0.49965882,0.40574473,0.6200793,0.27165478
0.8851725,0.31090152,0.83770025,0.4377763,0.21447852
0.5097248,0.7654555,0.6033303,0.7336808,0.7462295
0.21580857,0.49753073,0.27678555,0.63448185,0.23451225
0.38813317,0.22426876,0.29758438,0.54361075,0.036288977
0.3937024,0.7639102,0.48308155,0.8228699,0.6398509
0.24781793,0.59504956,0.27730852,0.56530184,0.4937394
0.167216,0.814998,0.21027029,0.80915976,0.650915
0.42647436,0.46928364,0.48839167,0.5111206,0.38921675
0.6912881,0.7148955,0.58433884,0.6927711,0.43857464
0.426056,0.7302047,0.4584517,0.6456623,0.41686362
0.62492764,0.9333145,0.61744106,0.85806954,0.33236295
0.7235244,0.23132563,0.7114249,0.28026855,0.39818045
0.38467875,0.3866818,0.3760423,0.3525616,0.47268298
0.12972504,0.289599,0.21849093,0.27861148,0.3000716
0.2569714,0.95548844,0.1573605,0.2162599,0.6064838
0.21705803,0.50831914,0.30036134,0.6212031,0.264165
0.66717744,0.70672226,0.58528084,0.6561852,0.3707376
0.68415356,0.2827478,0.64053655,0.35892668,0.093503
0.7252557,0.4421091,0.68149316,0.5512586,0.25735316
0.6375654,0.46802616,0.6022318,0.43305358,0.4056858
0.22691625,0.33978134,0.28286397,0.4879104,0.16877392
0.7188514,0.66052806,0.670797,0.60972697,0.410817
0.68489313,0.43475506,0.58009446,0.52803993,0.26075017
0.05967775,0.4712014,0.13984999,0.7544685,0.45321912
0.7232454,0.57642037,0.71889985,0.5529397,0.7295188
0.33205295,0.57326275,0.2758111,0.57040143,0.83141816
0.6020318,0.9299531,0.50415134,0.9087477,0.39896086
0.5362342,0.547714,0.53715134,0.45707336,0.3901536
0.19390762,0.24339545,0.27463025,0.43005973,0.13634771
0.4574768,0.5343429,0.37079662,0.39971054,0.5379013
0.62392133,0.64720047,0.53970724,0.6200037,0.47668615
0.55293906,0.4064564,0.52543646,0.36210877,0.54827225
0.6429685,0.23056853,0.55825704,0.32302547,0.10740641
0.38407096,0.853035,0.31145024,0.8445277,0.4482845
0.55530804,0.9465245,0.45935026,0.8634769,0.32659817
0.32906237,0.6960766,0.40419,0.44132882,0.43414912
0.44124755,0.47321182,0.5231983,0.49124768,0.67626095
0.54466015,0.5303054,0.5652252,0.55998003,0.55514234
0.91712683,0.56518406,0.9780587,0.5610787,0.3984021
0.20710397,0.76489407,0.25553107,0.73965955,0.5698106
0.1297324,0.60602146,0.09393275,0.57501996,0.5127922
0.60438234,0.34020025,0.51772094,0.31863326,0.43713617
0.80640846,0.7038382,0.7768867,0.68186176,0.48964593
0.3105115,0.51496613,0.18939754,0.4076013,0.5252072
0.5848476,0.39489573,0.6274122,0.3406453,0.60218537
0.60990995,0.9155283,0.58357,0.8727091,0.36042038
0.19293839,0.5937727,0.24137944,0.5255631,0.5300205
0.8531798,0.23426199,0.79121244,0.43138155,0.1932109
0.79355145,0.47505638,0.7509085,0.37937653,0.47845152
0.64669,0.16453233,0.63966095,0.16719407,0.35306334
0.24447414,0.64341295,0.33495715,0.6828927,0.5216803
0.5113788,0.4520735,0.5394871,0.40155458,0.69469345
0.7216115,0.31098595,0.6377701,0.38287055,0.41062275
0.12014201,0.7074741,0.1122157,0.74495506,0.60435534
0.4988667,0.12846082,0.4106856,0.15151244,0.30418825
0.17969477,0.84295094,0.15479594,0.8400861,0.6055156
0.69027317,0.61486965,0.7631892,0.53984606,0.45109972
0.11349377,0.4714702,0.14203048,0.3562504,0.43133456
0.8047824,0.39540425,0.7152563,0.3944841,0.41664845
0.02044329,0.47078454,0.010382563,0.4392303,0.46800306
