VGG16_2d1,VGG16_2d2,VGG16_3d1,VGG16_3d2,VGG16_3d3
0.27633685,0.48421833,0.3405673,0.48140207,0.17818502
0.4547513,0.1603123,0.4647541,0.16335323,0.48406273
0.19812351,0.39072597,0.25323325,0.4060452,0.22749501
0.96415186,0.5185101,0.93063045,0.58062315,0.3519954
0.3203739,0.58746517,0.20034096,0.6275464,0.32891056
0.47168824,0.5756828,0.3642764,0.46906674,0.08748743
0.39984927,0.61686206,0.38012773,0.5225718,0.24460146
0.4213124,0.49456927,0.34725195,0.5444058,0.82851195
0.5051514,0.30455023,0.53864056,0.41460204,0.69220275
0.55164164,0.7576897,0.5726792,0.80139005,0.42788652
0.3770553,0.3025843,0.3929299,0.29355985,0.3392247
0.44559926,0.47674868,0.24593918,0.5237299,0.8479451
0.82396793,0.6296663,0.728021,0.56519264,0.14798993
0.9168016,0.2976067,0.8695779,0.38230807,0.51410234
0.63338256,0.6221025,0.60077256,0.6140801,0.3443154
0.17320296,0.16390085,0.21549344,0.10142517,0.4920687
0.6119759,0.74756217,0.45704514,0.64162934,0.19859472
0.9074434,0.36248416,0.79472387,0.4017557,0.66226083
0.643651,0.7263626,0.52565396,0.56788737,0.12854108
0.90270746,0.27843964,0.87118685,0.33610392,0.47210652
0.72137797,0.24113142,0.7011701,0.33797136,0.752461
0.49510813,0.2645905,0.5087472,0.31188253,0.7125622
0.28772438,0.26916522,0.32228112,0.21945724,0.4607503
0.25686288,0.24458237,0.2528914,0.25460947,0.78522205
0.6349065,0.29237053,0.55763876,0.38718823,0.7575994
0.31059548,0.16067722,0.31241566,0.2386784,0.661705
0.5620081,0.510978,0.53656054,0.62354577,0.75942504
0.42637503,0.25836757,0.4061628,0.29397568,0.52313167
0.14640021,0.25598726,0.17289898,0.21017572,0.6553335
0.4530638,0.6186215,0.42379686,0.48400053,0.36311275
0.74292314,0.25130713,0.75371075,0.40003756,0.73988867
0.34090292,0.3991418,0.33536363,0.4362169,0.61487895
0.40200654,0.118047506,0.40871423,0.121071756,0.5742192
0.28925413,0.7678927,0.32472354,0.77857864,0.5594905
0.92221,0.31947696,0.90059066,0.3700659,0.5791493
0.16270986,0.44928703,0.14891806,0.45698065,0.24269435
0.37429383,0.87848294,0.25520778,0.88456196,0.5713736
0.5489542,0.65076464,0.507037,0.6210686,0.5171668
0.26820266,0.42423517,0.30224591,0.49254957,0.3083312
0.6922093,0.075997084,0.62369925,0.08219123,0.44607496
0.69347644,0.28598306,0.6886948,0.30436304,0.5579575
0.7296027,0.7142037,0.76264286,0.80617774,0.573338
0.7970574,0.34179083,0.76515996,0.43048602,0.36995697
0.4228006,0.656485,0.42457902,0.6241868,0.29404342
0.6667602,0.4418798,0.6311912,0.4435351,0.5065755
0.82155967,0.3879617,0.8302921,0.46033365,0.5324842
0.052244782,0.44219294,0.065344006,0.49957517,0.56330633
0.65539503,0.8695952,0.60296774,0.7795305,0.17455277
0.08535835,0.54765975,0.063115925,0.53790337,0.31086022
0.88766277,0.19644105,0.807338,0.28141117,0.7836323
0.30912614,0.7147992,0.32669228,0.70941573,0.5358672
0.24594426,0.69467384,0.28349185,0.7840467,0.6344444
0.37394935,0.5310999,0.3625834,0.5462013,0.7059407
0.64139044,0.73726344,0.5334684,0.5744021,0.1795047
0.34571093,0.87883365,0.35875994,0.8994522,0.39063317
0.80249876,0.3943958,0.787006,0.4317775,0.5619076
0.7933779,0.21364045,0.76663804,0.19558823,0.57451916
0.7368871,0.5067158,0.57618,0.5320796,0.9749673
0.38933638,0.148092,0.35967788,0.16946647,0.6519897
