img,sky,building,vegetation
1,0.429,0.071,0.141
2,0.297,0.003,0.332
3,0.0915,0.284,0.10775
4,0.225,0.416,0.011
5,0.189,0.467,0.006
6,0.0685,0.00075,0.48125
7,0.409,0.205,0.025
8,0.17,0.171,0.306
9,0.327,0.086,0.228
10,0.336,0,0.382
11,0.093,0.61,0.009
12,0.224,0.266,0.151
13,0.453,0.095,0.137
14,0.399,0.13,0.129
15,0.358,0.01,0.315
16,0.462,0.024,0.137
17,0.535,0.034,0.062
18,0.353,0.206,0.072
19,0.289,0.286,0.072
20,0.003,0.724,0
21,0.011,0.545,0.083
22,0.346,0.256,0.033
23,0.409,0.282,0.012
24,0.092,0.184,0.375
25,0.246,0.377,0.033
26,0.485,0.062,0.102
27,0.318,0.255,0.102
28,0.279,0.118,0.228
29,0.275,0.074,0.337
30,0.262,0.358,0.011
31,0.245,0,0.449
32,0.126,0,0.531
33,0.481,0.159,0.038
34,0.478,0.067,0.102
35,0.396,0.173,0.016
36,0.586,0.004,0.015
37,0.344,0.085,0.216
38,0.266,0.353,0.077
39,0.219,0.133,0.262
40,0.267,0.39,0.015
41,0.365,0.007,0.299
42,0.386,0.019,0.318
43,0.517,0.025,0.095
44,0.464,0.026,0.112
45,0.334,0.192,0.111
46,0.286,0.281,0.067
47,0.503,0.094,0.028
48,0.0225,0.339,0.149
49,0.275,0.331,0.024
50,0.448,0.133,0.088
51,0.328,0.249,0.048
52,0.521,0.037,0.072
53,0.268,0.276,0.126
54,0.35,0.011,0.28
55,0.515,0.017,0.1
56,0.233,0,0.314
57,0.349,0,0.246
58,0.49,0.042,0.207
59,0,0.783,0
60,0.515,0.042,0.127
61,0.27,0.428,0.015
62,0.229,0.253,0.188
63,0.164,0.501,0
64,0.386,0.194,0.099
65,0.528,0.029,0.087
66,0.07,0.034,0.567
67,0.024,0.003,0.744
68,0.012,0.323,0
69,0.576,0.036,0.048
70,0.289,0.272,0.084
71,0.096,0.02,0.519
72,0.383,0.17,0.068
73,0.288,0.061,0.304
74,0.218,0.449,0
75,0.399,0.008,0.24
76,0.355,0.088,0.161
77,0.121,0.19,0.299
78,0.225,0.246,0.247
79,0.2365,0.06975,0.198
80,0.558,0.032,0.016
81,0.248,0.419,0.005
82,0.00525,0.06375,0.46775
83,0.446,0.009,0.18
84,0.559,0.03,0.03
85,0.517,0.085,0.012
86,0.379,0.109,0.152
87,0.347,0.224,0.077
88,0.355,0.217,0.071
89,0.476,0.084,0.076
90,0.001,0.603,0.047
91,0.254,0.395,0
92,0.573,0.041,0.017
93,0.478,0.091,0.002
94,0.219,0.002,0.386
95,0.218,0.446,0
96,0.42,0.253,0.005
97,0.428,0.047,0.143
98,0.347,0.16,0.13
99,0.399,0.178,0.034
100,0.455,0.076,0.139
101,0.417,0.124,0.11
102,0.538,0.024,0.078
103,0.089,0.583,0
104,0.168,0.517,0.026
