Feature set,Time,R squared,Optimal Pipeline
set 1,15.59,0.8284687031939608,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_AllModels_1_AutoML_1_20230923_170934


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       5/15
# GBM base models (used / total)           1/8
# DeepLearning base models (used / total)  3/4
# DRF base models (used / total)           1/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.5448291499286895
RMSE: 1.5952520646997106
MAE: 0.9277419241912728
RMSLE: 0.1933472706052796
Mean Residual Deviance: 2.5448291499286895
R^2: 0.9502949921345137
Null degrees of freedom: 10050
Residual degrees of freedom: 10045
Null deviance: 514599.6647051907
Residual deviance: 25578.07778593326
AIC: 37925.77479470481

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 11.059066790934523
RMSE: 3.3255175222714617
MAE: 1.3215634882152167
RMSLE: 0.23024456155572443
Mean Residual Deviance: 11.059066790934523
R^2: 0.8147747221084392
Null degrees of freedom: 18403
Residual degrees of freedom: 18398
Null deviance: 1098853.2046933188
Residual deviance: 203531.06522035896
AIC: 96471.71385941273

Cross-Validation Metrics Summary: 
                        mean      sd         cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ---------  ------------  ------------  ------------  ------------  ------------
mae                     1.30132   0.0446583  1.32366       1.30428       1.35096       1.29698       1.23071
mean_residual_deviance  10.7649   3.91787    10.9623       9.80011       16.5905       10.8528       5.61871
mse                     10.7649   3.91787    10.9623       9.80011       16.5905       10.8528       5.61871
null_deviance           219771    41523.2    201384        254625        269914        203944        168987
r2                      0.822399  0.0448955  0.799837      0.85789       0.770299      0.804486      0.879482
residual_deviance       39744.9   14865.7    40308.3       36182         61998.9       39873.1       20362.2
rmse                    3.23587   0.606272   3.31093       3.13051       4.07315       3.29435       2.37038
rmsle                   0.229791  0.0085356  0.221974      0.238051      0.237395      0.231765      0.219772"
set 2,16.22,0.8242400717400937,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_AllModels_1_AutoML_2_20230923_172511


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       5/15
# GBM base models (used / total)           1/8
# DeepLearning base models (used / total)  2/4
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.6297498127906325
RMSE: 1.6216503361670271
MAE: 0.9218230126188354
RMSLE: 0.19039474547376273
Mean Residual Deviance: 2.6297498127906325
R^2: 0.9486363416056115
Null degrees of freedom: 10050
Residual degrees of freedom: 10045
Null deviance: 514599.6647051907
Residual deviance: 26431.615368358645
AIC: 38255.700853348266

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 10.642363130520392
RMSE: 3.262263498021028
MAE: 1.3109041873837841
RMSLE: 0.2297993030673423
Mean Residual Deviance: 10.642363130520392
R^2: 0.8217539774794175
Null degrees of freedom: 18403
Residual degrees of freedom: 18399
Null deviance: 1098853.2046933188
Residual deviance: 195862.0510540973
AIC: 95762.85196737829

Cross-Validation Metrics Summary: 
                        mean      sd          cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ----------  ------------  ------------  ------------  ------------  ------------
mae                     1.28165   0.050721    1.26137       1.27495       1.35688       1.29634       1.21873
mean_residual_deviance  10.3092   3.35768     9.57927       9.25731       15.1537       11.5437       6.01227
mse                     10.3092   3.35768     9.57927       9.25731       15.1537       11.5437       6.01227
null_deviance           219771    41523.2     201384        254625        269914        203944        168987
r2                      0.828824  0.0387493   0.82509       0.865761      0.790192      0.792039      0.87104
residual_deviance       38046.1   12763.6     35223         34178         56629.5       42411.4       21788.5
rmse                    3.176     0.527119    3.09504       3.04258       3.89278       3.3976        2.45199
rmsle                   0.228605  0.00956672  0.218276      0.235931      0.238708      0.231317      0.218792"
set 3,14.15,0.8240880201583852,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_AllModels_1_AutoML_3_20230923_174125


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       6/15
# GBM base models (used / total)           1/8
# DeepLearning base models (used / total)  3/4
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.854172301421131
RMSE: 1.6894295787102613
MAE: 1.0141474905875358
RMSLE: 0.19287629758444078
Mean Residual Deviance: 2.854172301421131
R^2: 0.9442529740373472
Null degrees of freedom: 10050
Residual degrees of freedom: 10044
Null deviance: 514599.6647051907
Residual deviance: 28687.285801583785
AIC: 39080.80916221468

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 10.564505493262018
RMSE: 3.2503085227808786
MAE: 1.3481147810425627
RMSLE: 0.23269586149151264
Mean Residual Deviance: 10.564505493262018
R^2: 0.8230579937015624
Null degrees of freedom: 18403
Residual degrees of freedom: 18398
Null deviance: 1098853.2046933188
Residual deviance: 194429.15909799418
AIC: 95629.71665632079

Cross-Validation Metrics Summary: 
                        mean      sd          cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ----------  ------------  ------------  ------------  ------------  ------------
mae                     1.30985   0.0595731   1.34044       1.32052       1.38325       1.27687       1.22817
mean_residual_deviance  10.3362   3.77137     10.5399       8.77604       16.0811       10.5694       5.71459
mse                     10.3362   3.77137     10.5399       8.77604       16.0811       10.5694       5.71459
null_deviance           219771    41523.2     201384        254625        269914        203944        168987
r2                      0.828932  0.0440524   0.807549      0.87274       0.777352      0.809592      0.877425
residual_deviance       38158.6   14314.6     38755.3       32401.1       60095         38831.8       20709.7
rmse                    3.17213   0.584995    3.24652       2.96244       4.01012       3.25105       2.39052
rmsle                   0.231033  0.00911193  0.224195      0.240655      0.239687      0.230437      0.220192"
set 4,14.75,0.834006897784958,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_AllModels_1_AutoML_4_20230923_175534


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       7/15
# GBM base models (used / total)           2/8
# DeepLearning base models (used / total)  3/4
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.5516765112158186
RMSE: 1.5973967920387904
MAE: 0.9493066834702618
RMSLE: 0.1987763067768446
Mean Residual Deviance: 2.5516765112158186
R^2: 0.9501612510750622
Null degrees of freedom: 10050
Residual degrees of freedom: 10043
Null deviance: 514599.6647051907
Residual deviance: 25646.900614230195
AIC: 37956.782660204655

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 10.904892507398033
RMSE: 3.302255669598893
MAE: 1.3076546529975281
RMSLE: 0.22997813879319365
Mean Residual Deviance: 10.904892507398033
R^2: 0.8173569449172559
Null degrees of freedom: 18403
Residual degrees of freedom: 18398
Null deviance: 1098853.2046933188
Residual deviance: 200693.6417061534
AIC: 96213.33875689624

Cross-Validation Metrics Summary: 
                        mean      sd         cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ---------  ------------  ------------  ------------  ------------  ------------
mae                     1.28739   0.0739436  1.24317       1.30376       1.40153       1.28232       1.20619
mean_residual_deviance  10.5368   3.92007    10.0165       9.82306       16.7549       10.2357       5.85363
mse                     10.5368   3.92007    10.0165       9.82306       16.7549       10.2357       5.85363
null_deviance           219771    41523.2    201384        254625        269914        203944        168987
r2                      0.826546  0.0415019  0.817106      0.857557      0.768023      0.815602      0.874443
residual_deviance       38906     14899.8    36830.6       36266.7       62613.1       37606         21213.5
rmse                    3.20222   0.594302   3.16488       3.13418       4.09328       3.19933       2.41943
rmsle                   0.229729  0.0108965  0.217252      0.239221      0.241112      0.231201      0.219858"
set 5,15.55,0.8325882340242766,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_BestOfFamily_1_AutoML_5_20230923_181021


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       4/5
# GBM base models (used / total)           1/1
# DeepLearning base models (used / total)  1/1
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.739698855744603
RMSE: 1.655203569276179
MAE: 0.9218452272254973
RMSLE: 0.18092547539462916
Mean Residual Deviance: 2.739698855744603
R^2: 0.942028650821214
Null degrees of freedom: 10051
Residual degrees of freedom: 10047
Null deviance: 475067.68752274883
Residual deviance: 27539.45289794475
AIC: 38669.22844491945

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 10.949882351305277
RMSE: 3.309060644851538
MAE: 1.294996262044418
RMSLE: 0.22861332136690693
Mean Residual Deviance: 10.949882351305277
R^2: 0.8166034223554022
Null degrees of freedom: 18403
Residual degrees of freedom: 18399
Null deviance: 1098849.7334929644
Residual deviance: 201521.63479342233
AIC: 96287.11114643003

Cross-Validation Metrics Summary: 
                        mean      sd         cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ---------  ------------  ------------  ------------  ------------  ------------
mae                     1.26205   0.0671305  1.34182       1.20069       1.22691       1.32753       1.21332
mean_residual_deviance  10.6686   2.41581    13.4425       7.90335       12.3717       11.1614       8.4641
mse                     10.6686   2.41581    13.4425       7.90335       12.3717       11.1614       8.4641
null_deviance           219770    33572.5    245874        167011        243231        205747        236987
r2                      0.82108   0.0295427  0.798964      0.825266      0.809916      0.800724      0.870531
residual_deviance       39303.8   9085.97    49428.1       29179.2       46233.2       40996         30682.4
rmse                    3.24905   0.374718   3.6664        2.81129       3.51735       3.34087       2.90931
rmsle                   0.227298  0.0087412  0.235517      0.224534      0.216346      0.236953      0.223141"
set 6,16.25,0.8389160354046952,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_BestOfFamily_1_AutoML_6_20230923_182555


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       4/5
# GBM base models (used / total)           1/1
# DRF base models (used / total)           2/2
# DeepLearning base models (used / total)  1/1
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.173325214707536
RMSE: 1.4742202056367075
MAE: 0.8524476358635892
RMSLE: 0.1690599668056131
Mean Residual Deviance: 2.173325214707536
R^2: 0.9540129767778333
Null degrees of freedom: 10051
Residual degrees of freedom: 10047
Null deviance: 475067.6875227487
Residual deviance: 21846.26505824015
AIC: 36341.289222829684

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 10.740140190712438
RMSE: 3.2772153103988204
MAE: 1.2786570126226389
RMSLE: 0.2277051987761403
Mean Residual Deviance: 10.740140190712438
R^2: 0.8201163363033703
Null degrees of freedom: 18403
Residual degrees of freedom: 18400
Null deviance: 1098849.7334929644
Residual deviance: 197661.5400698717
AIC: 95929.1672980407

Cross-Validation Metrics Summary: 
                        mean      sd          cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ----------  ------------  ------------  ------------  ------------  ------------
mae                     1.2478    0.064849    1.3219        1.18592       1.21055       1.31416       1.20644
mean_residual_deviance  10.4982   2.58059     13.7771       7.74522       11.7509       11.2144       8.00314
mse                     10.4982   2.58059     13.7771       7.74522       11.7509       11.2144       8.00314
null_deviance           219770    33572.5     245874        167011        243231        205747        236987
r2                      0.823907  0.0331794   0.79396       0.828762      0.819454      0.799778      0.877582
residual_deviance       38673.8   9648.23     50658.4       28595.4       43913.2       41190.6       29011.4
rmse                    3.2201    0.401715    3.71175       2.78302       3.42796       3.3488        2.82898
rmsle                   0.226606  0.00805429  0.233942      0.224122      0.215717      0.235225      0.224027"
set 7,15.93,0.8333489143710441,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_AllModels_1_AutoML_7_20230923_184211


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       5/15
# GBM base models (used / total)           1/8
# DeepLearning base models (used / total)  2/4
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.4695656344429624
RMSE: 1.5714851683814781
MAE: 0.9130251492210316
RMSLE: 0.19367219529626328
Mean Residual Deviance: 2.4695656344429624
R^2: 0.9517650215191218
Null degrees of freedom: 10050
Residual degrees of freedom: 10045
Null deviance: 514599.6647051907
Residual deviance: 24821.604191786217
AIC: 37624.031337437664

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 11.01998539074719
RMSE: 3.319636334110589
MAE: 1.3129492455523493
RMSLE: 0.23023845042942276
Mean Residual Deviance: 11.01998539074719
R^2: 0.8154292857661996
Null degrees of freedom: 18403
Residual degrees of freedom: 18398
Null deviance: 1098853.2046933188
Residual deviance: 202811.81113131126
AIC: 96406.56116768444

Cross-Validation Metrics Summary: 
                        mean      sd          cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ----------  ------------  ------------  ------------  ------------  ------------
mae                     1.2882    0.0609327   1.28144       1.29862       1.37488       1.28241       1.20364
mean_residual_deviance  10.7983   4.08431     10.7706       9.76858       17.0459       10.7687       5.63766
mse                     10.7983   4.08431     10.7706       9.76858       17.0459       10.7687       5.63766
null_deviance           219771    41523.2     201384        254625        269914        203944        168987
r2                      0.822151  0.0462264   0.803336      0.858347      0.763995      0.806001      0.879075
residual_deviance       39872.9   15495.2     39603.7       36065.6       63700.4       39564.1       20430.9
rmse                    3.23839   0.623621    3.28187       3.12547       4.12866       3.28156       2.37438
rmsle                   0.229386  0.00965773  0.219753      0.237757      0.239398      0.230999      0.219024"
set 8,15.94,0.8256947594793735,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_BestOfFamily_1_AutoML_8_20230923_185808


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       4/5
# GBM base models (used / total)           1/1
# DeepLearning base models (used / total)  1/1
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.7227142454710287
RMSE: 1.6500649215927925
MAE: 1.060290688515795
RMSLE: 0.21137242185857513
Mean Residual Deviance: 2.7227142454710287
R^2: 0.9423880409676056
Null degrees of freedom: 10051
Residual degrees of freedom: 10047
Null deviance: 475067.68752274883
Residual deviance: 27368.72359547478
AIC: 38606.71766460307

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 10.855593133582873
RMSE: 3.294782714168398
MAE: 1.2668870663909755
RMSLE: 0.22750790541660287
Mean Residual Deviance: 10.855593133582873
R^2: 0.8181826466141007
Null degrees of freedom: 18403
Residual degrees of freedom: 18399
Null deviance: 1098849.7334929644
Residual deviance: 199786.3360304592
AIC: 96127.94840955043

Cross-Validation Metrics Summary: 
                        mean      sd          cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ----------  ------------  ------------  ------------  ------------  ------------
mae                     1.25444   0.0506734   1.32237       1.20837       1.22273       1.29458       1.22413
mean_residual_deviance  10.6369   2.70043     14.6127       7.72017       11.5908       10.61         8.65085
mse                     10.6369   2.70043     14.6127       7.72017       11.5908       10.61         8.65085
null_deviance           219770    33572.5     245874        167011        243231        205747        236987
r2                      0.822188  0.0312786   0.781463      0.829316      0.821915      0.81057       0.867675
residual_deviance       39175.6   10050.3     53730.8       28502.9       43314.7       38970.4       31359.3
rmse                    3.24084   0.408985    3.82265       2.77852       3.40452       3.2573        2.94123
rmsle                   0.227371  0.00819318  0.235933      0.225075      0.2161        0.234892      0.224853"
set 9,16.33,0.8356316476397811,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_BestOfFamily_1_AutoML_9_20230923_191405


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       4/5
# GBM base models (used / total)           1/1
# DeepLearning base models (used / total)  1/1
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.2365489822767244
RMSE: 1.4955096062134554
MAE: 0.8466462596923828
RMSLE: 0.1705820925900446
Mean Residual Deviance: 2.2365489822767244
R^2: 0.9526751775162587
Null degrees of freedom: 10051
Residual degrees of freedom: 10047
Null deviance: 475067.6875227487
Residual deviance: 22481.790369845632
AIC: 36629.53729148017

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 11.079368833738673
RMSE: 3.3285685863053316
MAE: 1.2773017551504715
RMSLE: 0.22791438211950527
Mean Residual Deviance: 11.079368833738673
R^2: 0.8144346887592196
Null degrees of freedom: 18403
Residual degrees of freedom: 18399
Null deviance: 1098849.7334929644
Residual deviance: 203904.70401612655
AIC: 96503.46862933804

Cross-Validation Metrics Summary: 
                        mean      sd          cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ----------  ------------  ------------  ------------  ------------  ------------
mae                     1.26301   0.0661074   1.3366        1.21332       1.20796       1.33373       1.22346
mean_residual_deviance  10.844    2.95904     14.4924       7.80827       12.9892       10.8954       8.03468
mse                     10.844    2.95904     14.4924       7.80827       12.9892       10.8954       8.03468
null_deviance           219770    33572.5     245874        167011        243231        205747        236987
r2                      0.818727  0.0362295   0.783262      0.827368      0.800428      0.805475      0.8771
residual_deviance       39960.4   11097.1     53288.6       28828.1       48540.8       40018.7       29125.7
rmse                    3.26813   0.451846    3.80689       2.79433       3.60406       3.30081       2.83455
rmsle                   0.22777   0.00958136  0.236442      0.225809      0.214075      0.237435      0.225088"
set 10,16.07,0.8236838970804721,"Model Details
=============
H2OStackedEnsembleEstimator : Stacked Ensemble
Model Key: StackedEnsemble_BestOfFamily_1_AutoML_10_20230923_193026


Model Summary for Stacked Ensemble: 
key                                        value
-----------------------------------------  ----------------
Stacking strategy                          cross_validation
Number of base models (used / total)       3/5
# GBM base models (used / total)           0/1
# DeepLearning base models (used / total)  1/1
# DRF base models (used / total)           2/2
# GLM base models (used / total)           0/1
Metalearner algorithm                      GLM
Metalearner fold assignment scheme         Random
Metalearner nfolds                         5
Metalearner fold_column
Custom metalearner hyperparameters         None

ModelMetricsRegressionGLM: stackedensemble
** Reported on train data. **

MSE: 2.3882952763980936
RMSE: 1.5454110380083654
MAE: 0.8974571105700235
RMSLE: 0.18154602739438963
Mean Residual Deviance: 2.3882952763980936
R^2: 0.9494642635193968
Null degrees of freedom: 10051
Residual degrees of freedom: 10048
Null deviance: 475067.6875227488
Residual deviance: 24007.144118353637
AIC: 37287.40880281382

ModelMetricsRegressionGLM: stackedensemble
** Reported on cross-validation data. **

MSE: 10.48921379227629
RMSE: 3.238705573570449
MAE: 1.2751559324816368
RMSLE: 0.22734735049336424
Mean Residual Deviance: 10.48921379227629
R^2: 0.824319033760516
Null degrees of freedom: 18403
Residual degrees of freedom: 18400
Null deviance: 1098849.7334929644
Residual deviance: 193043.49063305283
AIC: 95494.08439189302

Cross-Validation Metrics Summary: 
                        mean      sd         cv_1_valid    cv_2_valid    cv_3_valid    cv_4_valid    cv_5_valid
----------------------  --------  ---------  ------------  ------------  ------------  ------------  ------------
mae                     1.24533   0.0707827  1.30986       1.18146       1.24214       1.32335       1.16983
mean_residual_deviance  10.2527   2.85523    13.7352       7.51077       11.9811       10.8793       7.15702
mse                     10.2527   2.85523    13.7352       7.51077       11.9811       10.8793       7.15702
null_deviance           219770    33572.5    245874        167011        243231        205747        236987
r2                      0.828147  0.0377545  0.794586      0.833946      0.815918      0.805761      0.890525
residual_deviance       37782.3   10684.8    50504.4       27729.7       44773.4       39959.7       25944.2
rmse                    3.17634   0.45215    3.70611       2.74058       3.46137       3.29838       2.67526
rmsle                   0.226297  0.0083935  0.234102      0.222562      0.217466      0.236346      0.221009"
