Feature set,Time,R squared,Optimal Pipeline
set 1,10.88,0.854755359,"model_type                                                Extra Tree
features           [CCL, Area, x, y, Longitude, Latitude, wifi_hk...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            1.21
before_r2                                                   0.850475
before_mae                                                  1.164888
before_rmse                                                 2.820578
after_r2                                                    0.854755
after_mae                                                   1.117638
after_rmse                                                  2.779917
improvement                                                        1
Name: 1, dtype: object"
set 2,11.59,0.867362982,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.35
before_r2                                                   0.855906
before_mae                                                  1.151433
before_rmse                                                 2.768887
after_r2                                                    0.867363
after_mae                                                   1.055311
after_rmse                                                  2.656526
improvement                                                        1
Name: 1, dtype: object"
set 3,11.31,0.866447419,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.71
before_r2                                                   0.866447
before_mae                                                  1.055561
before_rmse                                                 2.665679
after_r2                                                     0.85155
after_mae                                                   1.176979
after_rmse                                                  2.810425
improvement                                                        0
Name: 1, dtype: object"
set 4,11.55,0.858809465,"model_type                                             Random Forest
features           [Area, x, y, Longitude, Latitude, wifi_hk, POI...
hyperparameters    {'min_samples_leaf': 2, 'min_samples_split': 1...
Time                                                            9.18
before_r2                                                   0.841351
before_mae                                                  1.179368
before_rmse                                                  2.90536
after_r2                                                    0.858809
after_mae                                                   1.121566
after_rmse                                                  2.740846
improvement                                                        1
Name: 0, dtype: object"
set 5,11.26,0.8674472,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.74
before_r2                                                   0.867447
before_mae                                                  1.050174
before_rmse                                                 2.655683
after_r2                                                    0.846413
after_mae                                                   1.180937
after_rmse                                                  2.858639
improvement                                                        0
Name: 1, dtype: object"
set 6,12.2,0.855664533,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.95
before_r2                                                   0.855665
before_mae                                                  1.061495
before_rmse                                                 2.771203
after_r2                                                    0.855146
after_mae                                                   1.159333
after_rmse                                                   2.77618
improvement                                                        0
Name: 1, dtype: object"
set 7,10.94,0.858466072,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': True, 'min_samples_leaf': 3, 'mi...
Time                                                            1.24
before_r2                                                   0.858466
before_mae                                                  1.148362
before_rmse                                                 2.744177
after_r2                                                    0.850881
after_mae                                                   1.163646
after_rmse                                                  2.816749
improvement                                                        0
Name: 1, dtype: object"
set 8,12.07,0.868266498,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.91
before_r2                                                   0.868266
before_mae                                                  1.051958
before_rmse                                                 2.647463
after_r2                                                    0.860392
after_mae                                                   1.122845
after_rmse                                                   2.72544
improvement                                                        0
Name: 1, dtype: object"
set 9,10.99,0.862455818,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.62
before_r2                                                   0.862456
before_mae                                                  1.055269
before_rmse                                                 2.705222
after_r2                                                    0.858352
after_mae                                                   1.104978
after_rmse                                                  2.745282
improvement                                                        0
Name: 1, dtype: object"
set 10,11.07,0.852666134,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': True, 'min_samples_leaf': 3, 'mi...
Time                                                            1.31
before_r2                                                   0.852666
before_mae                                                  1.151885
before_rmse                                                 2.799839
after_r2                                                    0.850173
after_mae                                                   1.164496
after_rmse                                                  2.823425
improvement                                                        0
Name: 1, dtype: object"
set 11,10.39,0.865612279,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.07
before_r2                                                   0.862285
before_mae                                                  1.086041
before_rmse                                                 2.706899
after_r2                                                    0.865612
after_mae                                                   1.052699
after_rmse                                                  2.674001
improvement                                                        1
Name: 1, dtype: object"
set 12,11.65,0.861622059,"model_type                                                Extra Tree
features           [Area, x, y, Longitude, Latitude, wifi_hk, POI...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.75
before_r2                                                   0.859947
before_mae                                                  1.058756
before_rmse                                                  2.72978
after_r2                                                    0.861622
after_mae                                                    1.06447
after_rmse                                                  2.713409
improvement                                                        1
Name: 1, dtype: object"
set 13,10.67,0.859084233,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': True, 'min_samples_leaf': 3, 'mi...
Time                                                            1.26
before_r2                                                   0.859084
before_mae                                                  1.144124
before_rmse                                                 2.738177
after_r2                                                    0.850393
after_mae                                                   1.172875
after_rmse                                                  2.821351
improvement                                                        0
Name: 1, dtype: object"
set 14,11.7,0.857871561,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.71
before_r2                                                   0.857872
before_mae                                                  1.057725
before_rmse                                                 2.749934
after_r2                                                    0.853133
after_mae                                                   1.148479
after_rmse                                                  2.795401
improvement                                                        0
Name: 1, dtype: object"
set 15,10.35,0.861118422,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            0.97
before_r2                                                   0.861118
before_mae                                                  1.092027
before_rmse                                                 2.718342
after_r2                                                    0.859149
after_mae                                                   1.101513
after_rmse                                                  2.737552
improvement                                                        0
Name: 1, dtype: object"
set 16,11.02,0.867624737,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            1.11
before_r2                                                   0.867625
before_mae                                                  1.088397
before_rmse                                                 2.653904
after_r2                                                    0.864886
after_mae                                                   1.056474
after_rmse                                                  2.681217
improvement                                                        0
Name: 1, dtype: object"
set 17,10.4,0.863232711,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            0.92
before_r2                                                   0.863233
before_mae                                                  1.098176
before_rmse                                                 2.697571
after_r2                                                    0.851402
after_mae                                                   1.161115
after_rmse                                                  2.811824
improvement                                                        0
Name: 1, dtype: object"
set 18,11.17,0.865257383,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            1.13
before_r2                                                   0.865257
before_mae                                                  1.089822
before_rmse                                                 2.677529
after_r2                                                    0.859201
after_mae                                                    1.07363
after_rmse                                                  2.737047
improvement                                                        0
Name: 1, dtype: object"
set 19,10.36,0.864121889,"model_type                                                Extra Tree
features           [Area, x, y, Longitude, Latitude, wifi_hk, POI...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            1.00
before_r2                                                   0.859791
before_mae                                                  1.091819
before_rmse                                                 2.731307
after_r2                                                    0.864122
after_mae                                                   1.101157
after_rmse                                                  2.688788
improvement                                                        1
Name: 1, dtype: object"
set 20,11.24,0.85967994,"model_type                                                Extra Tree
features           [CCL, Area, x, y, Longitude, Latitude, wifi_hk...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.32
before_r2                                                   0.849906
before_mae                                                  1.165707
before_rmse                                                 2.825945
after_r2                                                     0.85968
after_mae                                                   1.070773
after_rmse                                                  2.732383
improvement                                                        1
Name: 1, dtype: object"
set 21,10.89,0.864090197,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.49
before_r2                                                    0.86409
before_mae                                                   1.05658
before_rmse                                                 2.689101
after_r2                                                    0.853357
after_mae                                                   1.153531
after_rmse                                                  2.793265
improvement                                                        0
Name: 1, dtype: object"
set 22,11.39,0.864808658,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 3, 'm...
Time                                                            1.44
before_r2                                                   0.864809
before_mae                                                  1.054322
before_rmse                                                 2.681984
after_r2                                                    0.856867
after_mae                                                   1.102824
after_rmse                                                  2.759635
improvement                                                        0
Name: 1, dtype: object"
set 23,10.57,0.854840571,"model_type                                                Extra Tree
features           [CCL, Area, x, y, Longitude, Latitude, wifi_hk...
hyperparameters    {'bootstrap': True, 'min_samples_leaf': 3, 'mi...
Time                                                            1.15
before_r2                                                   0.843803
before_mae                                                  1.168482
before_rmse                                                 2.882822
after_r2                                                    0.854841
after_mae                                                   1.153752
after_rmse                                                  2.779101
improvement                                                        1
Name: 1, dtype: object"
set 24,10.92,0.860834516,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            0.98
before_r2                                                   0.856894
before_mae                                                  1.096297
before_rmse                                                 2.759373
after_r2                                                    0.860835
after_mae                                                   1.091988
after_rmse                                                  2.721119
improvement                                                        1
Name: 1, dtype: object"
set 25,10.58,0.857030406,"model_type                                                Extra Tree
features           [Area, x, y, Longitude, Latitude, wifi_hk, POI...
hyperparameters    {'bootstrap': True, 'min_samples_leaf': 3, 'mi...
Time                                                            1.23
before_r2                                                   0.850006
before_mae                                                  1.163943
before_rmse                                                 2.824998
after_r2                                                     0.85703
after_mae                                                   1.152595
after_rmse                                                  2.758059
improvement                                                        1
Name: 1, dtype: object"
set 26,10.99,0.856391735,"model_type                                                Extra Tree
features           [CCL, Area, x, y, Longitude, Latitude, POI_den...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            1.03
before_r2                                                   0.855421
before_mae                                                  1.103303
before_rmse                                                 2.773536
after_r2                                                    0.856392
after_mae                                                   1.109533
after_rmse                                                  2.764213
improvement                                                        1
Name: 1, dtype: object"
set 27,10.57,0.860579192,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            1.19
before_r2                                                   0.860579
before_mae                                                  1.088888
before_rmse                                                 2.723614
after_r2                                                    0.860202
after_mae                                                   1.113718
after_rmse                                                  2.727298
improvement                                                        0
Name: 1, dtype: object"
set 28,10.82,0.865791947,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            0.98
before_r2                                                   0.864372
before_mae                                                  1.095982
before_rmse                                                 2.686316
after_r2                                                    0.865792
after_mae                                                   1.092277
after_rmse                                                  2.672213
improvement                                                        1
Name: 1, dtype: object"
set 29,10.28,0.862691111,"model_type                                                Extra Tree
features           [CCL, Floor, Area, x, y, Longitude, Latitude, ...
hyperparameters    {'bootstrap': False, 'min_samples_leaf': 5, 'm...
Time                                                            1.00
before_r2                                                   0.862691
before_mae                                                  1.090128
before_rmse                                                 2.702907
after_r2                                                    0.852422
after_mae                                                   1.153867
after_rmse                                                  2.802162
improvement                                                        0
Name: 1, dtype: object"
set 30,11.13,0.851501858,"model_type                                                Extra Tree
features           [CCL, Area, x, y, Longitude, Latitude, wifi_hk...
hyperparameters    {'bootstrap': True, 'min_samples_leaf': 3, 'mi...
Time                                                            1.27
before_r2                                                   0.847733
before_mae                                                  1.172025
before_rmse                                                 2.846326
after_r2                                                    0.851502
after_mae                                                   1.153403
after_rmse                                                   2.81088
improvement                                                        1
Name: 1, dtype: object"
