Feature set,Time,R squared,Optimal Pipeline
set 1,15.63,0.850782601,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.35000000000000003,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(bootstrap=False,
                                       max_features=0.6500000000000001,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
set 2,18.11,0.845502053,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.5,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(max_features=0.6500000000000001,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
set 3,22.08,0.803928886,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.5,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(bootstrap=False,
                                       max_features=0.6500000000000001,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
set 4,22.75,0.829487553,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.4,
                                                                   random_state=0))),
                ('maxabsscaler', MaxAbsScaler()),
                ('randomforestregressor',
                 RandomForestRegressor(bootstrap=False,
                                       max_features=0.6500000000000001,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
set 5,16.96,0.794246098,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.5,
                                                                   min_samples_split=5,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(bootstrap=False,
                                       max_features=0.6500000000000001,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
set 6,19.65,0.821134829,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.5,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(bootstrap=False, max_features=0.45,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
set 7,12.5,0.838566761,"Pipeline(steps=[('stackingestimator-1',
                 StackingEstimator(estimator=RandomForestRegressor(max_features=0.2,
                                                                   min_samples_split=11,
                                                                   random_state=0))),
                ('stackingestimator-2',
                 StackingEstimator(estimator=AdaBoostRegressor(learning_rate=0.5,
                                                               n_estimators=100,
                                                               random_state=0))),
                ('decisiontreeregressor',
                 DecisionTreeRegressor(max_depth=8, min_samples_leaf=11,
                                       min_samples_split=20, random_state=0))])"
set 8,18.42,0.870932526,"Pipeline(steps=[('randomforestregressor',
                 RandomForestRegressor(max_features=0.6500000000000001,
                                       min_samples_leaf=2, min_samples_split=12,
                                       random_state=0))])"
set 9,15.25,0.806982006,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.5,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(bootstrap=False,
                                       max_features=0.6500000000000001,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
set 10,21.68,0.819760409,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.5,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(min_samples_leaf=4, min_samples_split=18,
                                       random_state=0))])"
set 11,20.62,0.791768758,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestRegressor(bootstrap=False,
                                                                   max_features=0.5,
                                                                   random_state=0))),
                ('randomforestregressor',
                 RandomForestRegressor(bootstrap=False,
                                       max_features=0.6500000000000001,
                                       min_samples_leaf=6, min_samples_split=12,
                                       random_state=0))])"
